x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,class
392,59,185,127,239,180,212,315,273,300,well
392,59,185,126,239,180,212,314,273,299,well
397,56,184,126,239,179,209,316,273,302,well
399,53,185,126,239,179,207,317,272,303,well
401,52,183,125,239,179,207,317,272,304,well
402,52,183,125,239,178,205,316,273,304,well
402,50,185,125,241,177,204,315,275,303,well
403,50,185,125,241,178,204,315,274,304,well
404,50,184,126,242,178,203,315,275,304,well
405,50,185,126,242,178,204,314,275,303,well
406,50,185,128,244,178,204,314,276,303,well
406,50,186,128,245,178,204,313,276,302,well
406,49,187,127,245,177,204,312,277,301,well
406,49,186,127,245,177,205,311,277,300,well
406,49,185,128,246,176,205,311,277,299,well
407,47,185,128,248,176,207,310,279,298,well
406,48,184,127,248,175,210,309,281,296,well
400,53,185,126,249,176,220,306,280,291,well
394,55,186,126,252,177,226,303,281,287,well
390,62,187,125,253,177,236,305,288,288,well
392,68,184,124,250,176,239,308,295,291,well
396,76,182,125,249,177,241,310,297,295,well
398,80,181,124,249,176,241,307,297,293,well
400,84,181,124,251,177,247,306,299,292,well
397,84,181,124,250,187,254,303,299,292,well
398,83,183,125,253,188,253,303,297,291,well
400,83,185,126,253,189,253,304,296,292,well
399,84,184,125,253,190,254,306,295,294,well
400,83,186,126,255,191,253,306,295,294,well
400,85,187,126,256,192,254,307,295,295,well
401,84,188,124,257,192,255,307,296,295,well
403,84,190,124,259,192,255,307,297,295,well
403,84,191,123,259,192,255,307,297,295,well
404,84,193,123,261,192,255,307,298,296,well
404,84,193,122,261,192,256,307,298,296,well
404,83,196,123,264,191,256,305,300,295,well
398,85,200,120,264,189,257,303,302,293,well
398,85,200,120,265,189,257,303,302,294,well
385,87,204,131,286,180,255,299,313,291,well
386,63,209,132,288,181,251,299,310,293,well
383,57,212,133,291,181,252,300,311,294,well
384,53,215,133,295,182,253,301,312,294,well
386,52,217,134,297,182,255,300,312,293,well
388,50,218,134,298,182,254,300,313,293,well
389,49,219,132,296,181,252,300,312,292,well
390,49,220,132,296,182,253,301,312,292,well
390,49,220,132,297,182,253,300,312,292,well
392,48,221,133,296,181,252,301,313,293,well
391,49,221,133,296,182,253,303,313,294,well
392,48,222,133,297,182,253,302,314,293,well
391,49,222,134,298,183,257,304,316,293,well
392,49,223,134,299,184,259,305,317,293,well
391,50,223,135,299,184,262,306,320,294,well
391,51,224,134,302,184,264,305,320,293,well
391,51,224,136,303,184,267,306,324,294,well
388,55,223,138,301,185,270,312,331,299,well
388,56,223,139,301,184,272,312,334,299,well
390,57,223,140,302,184,275,311,338,297,well
403,54,216,132,292,182,273,318,339,302,well
412,55,214,132,291,182,272,322,338,305,well
418,52,213,131,288,182,271,326,338,308,well
425,51,212,129,287,182,269,327,337,311,well
432,53,211,131,288,184,272,330,337,314,well
432,54,211,130,288,184,273,330,337,314,well
437,56,211,130,288,184,274,329,335,314,well
441,59,211,131,289,184,274,328,335,314,well
444,59,206,127,288,188,279,317,338,307,well
447,59,207,127,290,188,280,317,338,308,well
447,60,207,127,290,188,280,317,338,308,well
450,60,207,127,290,189,279,318,337,308,well
452,62,207,126,291,189,280,318,337,307,well
