x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,class
675,470,226,474,403,559,469,690,473,696,wry
675,461,201,460,401,559,474,698,472,701,wry
666,446,280,428,434,542,479,720,503,692,wry
670,487,184,486,382,580,458,677,445,698,wry
687,498,193,481,413,566,467,664,468,685,wry
689,483,184,494,412,567,462,673,479,696,wry
703,466,232,500,449,564,469,666,488,677,wry
700,461,214,480,438,559,487,679,491,680,wry
702,460,203,471,440,556,495,669,490,669,wry
712,434,291,387,450,507,508,712,527,680,wry
721,424,308,386,476,497,510,688,544,672,wry
715,414,309,388,477,499,511,685,545,669,wry
708,404,303,375,471,493,506,689,544,668,wry
692,399,294,359,453,488,506,695,531,664,wry
692,393,297,357,462,480,505,686,539,663,wry
700,380,306,358,455,481,501,685,524,657,wry
687,380,304,346,445,472,500,684,523,655,wry
678,378,306,347,435,473,492,680,508,651,wry
679,377,329,350,436,468,492,675,508,651,wry
668,409,255,383,448,500,483,667,517,656,wry
671,411,256,387,450,499,483,659,516,648,wry
668,409,259,385,446,495,475,658,512,648,wry
678,375,315,334,428,459,498,678,511,641,wry
684,384,243,336,443,474,491,682,497,659,wry
684,384,250,324,447,469,493,684,496,661,wry
659,403,279,378,442,491,476,660,507,651,wry
683,390,233,356,448,488,495,687,497,663,wry
683,396,220,356,447,488,494,684,499,661,wry
679,391,224,344,441,481,496,686,496,660,wry
672,379,319,333,422,458,492,680,498,644,wry
655,405,285,406,442,505,473,662,507,647,wry
668,411,281,396,451,504,477,662,508,650,wry
697,389,272,389,477,502,499,682,506,660,wry
664,412,277,402,441,509,476,665,502,651,wry
692,390,280,398,474,504,497,679,509,653,wry
701,395,269,384,474,496,494,680,501,658,wry
672,415,274,403,448,504,475,654,504,645,wry
714,410,258,366,472,487,504,685,513,660,wry
717,452,216,418,428,501,471,634,487,651,wry
713,452,186,410,423,497,467,618,478,639,wry
729,447,197,423,448,500,482,606,494,629,wry
711,432,254,392,486,494,512,630,526,618,wry
714,417,298,396,465,488,505,623,516,633,wry
716,429,310,396,467,490,509,632,514,639,wry
713,429,278,388,466,484,507,622,513,628,wry
726,421,280,380,477,479,521,625,526,627,wry
745,430,236,368,486,468,509,613,532,620,wry
767,413,279,373,503,465,528,619,547,618,wry
765,406,301,371,507,468,538,628,547,621,wry
762,380,327,353,540,451,546,624,576,604,wry
769,434,331,363,575,452,553,608,588,599,wry
781,405,343,345,565,437,547,616,601,603,wry
786,402,306,338,560,437,547,617,582,606,wry
797,390,332,341,568,435,540,614,601,606,wry
799,377,311,332,567,435,554,614,599,609,wry
811,408,321,350,571,429,563,591,602,590,wry
789,398,303,330,555,434,554,589,594,585,wry
788,392,321,331,562,429,563,584,601,577,wry
777,376,373,319,570,405,568,572,615,570,wry
815,380,314,334,554,411,537,566,594,583,wry
826,385,273,322,551,407,535,563,590,579,wry
825,379,295,332,555,410,530,564,590,584,wry
785,402,353,326,568,409,559,579,612,579,wry
785,408,323,345,562,432,548,580,597,583,wry
776,509,371,352,600,428,569,559,619,572,wry
789,399,320,325,572,413,552,572,604,577,wry
787,379,349,328,588,410,570,565,615,568,wry
806,364,317,314,586,404,571,575,623,576,wry
814,361,311,307,588,403,573,579,624,580,wry
819,384,321,323,583,413,568,551,622,582,wry
820,380,321,320,580,408,568,554,623,583,wry
834,367,338,325,582,397,565,554,637,586,wry
843,383,357,354,583,420,572,553,638,592,wry
814,341,420,293,595,395,588,600,654,598,wry
844,358,386,349,595,406,578,600,645,608,wry
846,391,386,349,554,422,551,608,602,622,wry
835,351,296,325,565,418,557,614,622,614,wry
840,345,290,314,557,414,558,620,620,619,wry
839,341,309,317,561,415,575,623,629,615,wry
824,318,387,296,586,405,581,612,653,596,wry
846,335,308,318,575,410,572,613,636,608,wry
851,335,295,317,570,410,569,613,629,609,wry
855,326,301,312,574,409,571,619,631,618,wry
854,328,300,310,577,407,577,618,637,618,wry
862,327,258,312,564,411,555,613,618,616,wry
857,319,295,318,581,407,567,610,634,611,wry
859,310,293,315,579,403,561,612,635,615,wry
861,298,297,313,571,400,561,613,635,617,wry
864,296,290,303,566,395,561,617,640,623,wry
838,293,363,303,597,397,564,601,660,596,wry
856,287,295,318,574,403,555,614,629,618,wry
811,218,577,294,586,351,623,581,692,572,wry
827,273,446,289,611,393,591,612,667,616,wry
844,291,401,295,623,393,593,617,685,622,wry
851,295,378,334,629,401,567,614,690,623,wry
860,281,417,333,626,404,577,630,686,633,wry
859,230,481,277,600,362,631,620,720,610,wry
846,248,513,287,602,367,636,620,715,616,wry
821,254,543,288,597,392,615,642,662,640,wry
798,240,602,286,592,386,622,650,671,642,wry
630,376,692,331,704,413,663,583,710,631,wry
733,231,692,331,672,422,657,645,704,678,wry
793,214,692,331,619,387,632,639,697,649,wry
610,265,629,281,660,415,647,646,687,679,wry
743,233,511,274,645,410,642,647,676,668,wry
876,291,511,274,571,428,576,626,626,645,wry
887,262,511,274,581,430,588,661,634,671,wry
878,314,511,274,586,423,568,597,630,628,wry
857,263,511,274,600,420,595,647,671,653,wry
861,267,511,274,570,436,586,650,622,658,wry
855,269,511,274,565,431,564,643,621,658,wry
854,254,511,274,572,419,576,645,633,664,wry
859,305,511,274,591,418,561,625,645,659,wry
860,322,511,274,573,424,548,634,591,645,wry
866,300,511,274,554,421,544,647,585,656,wry
863,325,511,274,550,417,531,622,593,639,wry
861,303,511,274,544,413,545,649,594,656,wry
851,313,511,274,542,419,548,640,587,638,wry
861,320,511,274,538,417,553,643,593,641,wry
862,313,511,274,522,424,541,646,577,646,wry
866,328,511,274,557,431,571,630,591,621,wry
871,347,511,274,555,433,563,637,592,628,wry
869,337,511,274,543,436,569,655,591,637,wry
877,342,511,274,543,441,562,662,589,645,wry
882,336,511,274,544,438,554,671,592,658,wry
894,348,511,274,555,434,563,665,595,654,wry
888,345,511,274,556,433,560,663,596,656,wry
883,372,511,274,558,445,560,653,584,642,wry
865,348,511,274,539,446,555,655,577,644,wry
851,347,511,274,547,455,562,651,577,637,wry
849,352,511,274,543,455,559,649,573,635,wry
845,352,511,274,526,456,542,655,568,645,wry
